Timestamp,RTU_1 DuctStatPress(in/wc)
16-Jan-20 04:50:00 pm,1.79
16-Jan-20 05:25:00 pm,1.79
16-Jan-20 06:00:00 pm,0.71
16-Jan-20 06:35:00 pm,0.14
16-Jan-20 07:10:00 pm,0.13
16-Jan-20 07:45:00 pm,0.13
16-Jan-20 08:20:00 pm,0.13
16-Jan-20 08:55:00 pm,0.13
16-Jan-20 09:30:00 pm,0.13
16-Jan-20 10:05:00 pm,0.12
16-Jan-20 10:40:00 pm,0.12
16-Jan-20 11:15:00 pm,0.12
16-Jan-20 11:50:00 pm,0.13
17-Jan-20 12:25:00 am,0.12
17-Jan-20 01:00:00 am,0.12
17-Jan-20 01:35:00 am,0.13
17-Jan-20 02:10:00 am,0.13
17-Jan-20 02:45:00 am,0.13
17-Jan-20 03:20:00 am,0.12
17-Jan-20 03:55:00 am,0.12
17-Jan-20 04:30:00 am,0.11
17-Jan-20 05:05:00 am,0.12
17-Jan-20 05:40:00 am,0.11
17-Jan-20 06:15:00 am,1.82
17-Jan-20 06:50:00 am,1.83
17-Jan-20 07:25:00 am,1.77
17-Jan-20 08:00:00 am,1.81
17-Jan-20 08:35:00 am,1.83
